scenario,year
docs/20200425 abc_example/slice3/scenarios/cog_507126/scenario_17680.yaml,38
docs/20200425 abc_example/slice3/scenarios/cog_507126/scenario_18479.yaml,36
docs/20200425 abc_example/slice3/scenarios/cog_507126/scenario_18712.yaml,44
docs/20200425 abc_example/slice3/scenarios/cog_829839/scenario_146.yaml,30
docs/20200425 abc_example/slice3/scenarios/cog_829839/scenario_872.yaml,41
docs/20200425 abc_example/slice3/scenarios/cog_829839/scenario_979.yaml,32
docs/20200425 abc_example/slice3/scenarios/cog_829839/scenario_1616.yaml,43
docs/20200425 abc_example/slice3/scenarios/cog_829839/scenario_2028.yaml,37
docs/20200425 abc_example/slice3/scenarios/cog_829839/scenario_2968.yaml,44
docs/20200425 abc_example/slice3/scenarios/cog_829839/scenario_3892.yaml,44
docs/20200425 abc_example/slice3/scenarios/cog_829839/scenario_3989.yaml,44
docs/20200425 abc_example/slice3/scenarios/cog_829839/scenario_4614.yaml,44
docs/20200425 abc_example/slice3/scenarios/cog_829839/scenario_5328.yaml,32
docs/20200425 abc_example/slice3/scenarios/cog_829839/scenario_5440.yaml,30
docs/20200425 abc_example/slice3/scenarios/cog_829839/scenario_5486.yaml,35
docs/20200425 abc_example/slice3/scenarios/cog_829839/scenario_6048.yaml,44
docs/20200425 abc_example/slice3/scenarios/cog_829839/scenario_6437.yaml,37
docs/20200425 abc_example/slice3/scenarios/cog_829839/scenario_6549.yaml,38
docs/20200425 abc_example/slice3/scenarios/cog_829839/scenario_6729.yaml,36
docs/20200425 abc_example/slice3/scenarios/cog_829839/scenario_6790.yaml,44
docs/20200425 abc_example/slice3/scenarios/cog_829839/scenario_7098.yaml,44
docs/20200425 abc_example/slice3/scenarios/cog_829839/scenario_7536.yaml,33
docs/20200425 abc_example/slice3/scenarios/cog_829839/scenario_8860.yaml,43
docs/20200425 abc_example/slice3/scenarios/cog_829839/scenario_9938.yaml,38
docs/20200425 abc_example/slice3/scenarios/cog_829839/scenario_10088.yaml,42
docs/20200425 abc_example/slice3/scenarios/cog_829839/scenario_10238.yaml,44
docs/20200425 abc_example/slice3/scenarios/cog_829839/scenario_11283.yaml,37
docs/20200425 abc_example/slice3/scenarios/cog_829839/scenario_12056.yaml,32
docs/20200425 abc_example/slice3/scenarios/cog_829839/scenario_12259.yaml,31
docs/20200425 abc_example/slice3/scenarios/cog_829839/scenario_12530.yaml,44
