scenario,year
docs/20200425 abc_example/slice3/scenarios/cog_829839/scenario_6351.yaml,44
docs/20200425 abc_example/slice3/scenarios/cog_829839/scenario_7442.yaml,38
docs/20200425 abc_example/slice3/scenarios/cog_829839/scenario_7770.yaml,32
docs/20200425 abc_example/slice3/scenarios/cog_829839/scenario_8980.yaml,39
docs/20200425 abc_example/slice3/scenarios/cog_829839/scenario_10234.yaml,38
docs/20200425 abc_example/slice3/scenarios/cog_829839/scenario_11270.yaml,42
docs/20200425 abc_example/slice3/scenarios/cog_829839/scenario_12061.yaml,39
docs/20200425 abc_example/slice3/scenarios/cog_829839/scenario_12461.yaml,33
docs/20200425 abc_example/slice3/scenarios/cog_829839/scenario_13222.yaml,39
docs/20200425 abc_example/slice3/scenarios/cog_829839/scenario_13775.yaml,41
docs/20200425 abc_example/slice3/scenarios/cog_829839/scenario_14530.yaml,36
docs/20200425 abc_example/slice3/scenarios/cog_829839/scenario_14640.yaml,33
docs/20200425 abc_example/slice3/scenarios/cog_829839/scenario_15415.yaml,44
docs/20200425 abc_example/slice3/scenarios/cog_829839/scenario_15929.yaml,34
docs/20200425 abc_example/slice3/scenarios/cog_829839/scenario_16248.yaml,35
docs/20200425 abc_example/slice3/scenarios/cog_829839/scenario_17239.yaml,44
docs/20200425 abc_example/slice3/scenarios/cog_829839/scenario_17599.yaml,38
docs/20200425 abc_example/slice3/scenarios/cog_829839/scenario_17971.yaml,38
docs/20200425 abc_example/slice3/scenarios/cog_829839/scenario_18349.yaml,38
docs/20200425 abc_example/slice3/scenarios/smoothoperator_416646/scenario_906.yaml,44
docs/20200425 abc_example/slice3/scenarios/smoothoperator_416646/scenario_1898.yaml,30
docs/20200425 abc_example/slice3/scenarios/smoothoperator_416646/scenario_1924.yaml,35
docs/20200425 abc_example/slice3/scenarios/smoothoperator_416646/scenario_2540.yaml,37
docs/20200425 abc_example/slice3/scenarios/smoothoperator_416646/scenario_2986.yaml,33
docs/20200425 abc_example/slice3/scenarios/smoothoperator_416646/scenario_3139.yaml,38
docs/20200425 abc_example/slice3/scenarios/smoothoperator_416646/scenario_3686.yaml,38
docs/20200425 abc_example/slice3/scenarios/smoothoperator_416646/scenario_3783.yaml,36
docs/20200425 abc_example/slice3/scenarios/smoothoperator_416646/scenario_3796.yaml,44
docs/20200425 abc_example/slice3/scenarios/smoothoperator_416646/scenario_4761.yaml,37
docs/20200425 abc_example/slice3/scenarios/smoothoperator_416646/scenario_5519.yaml,39
docs/20200425 abc_example/slice3/scenarios/smoothoperator_416646/scenario_6297.yaml,44
docs/20200425 abc_example/slice3/scenarios/smoothoperator_416646/scenario_8866.yaml,41
docs/20200425 abc_example/slice3/scenarios/smoothoperator_416646/scenario_9923.yaml,37
docs/20200425 abc_example/slice3/scenarios/smoothoperator_416646/scenario_10172.yaml,44
docs/20200425 abc_example/slice3/scenarios/smoothoperator_416646/scenario_11400.yaml,44
docs/20200425 abc_example/slice3/scenarios/smoothoperator_416646/scenario_11917.yaml,36
docs/20200425 abc_example/slice3/scenarios/smoothoperator_416646/scenario_13047.yaml,33
docs/20200425 abc_example/slice3/scenarios/smoothoperator_416646/scenario_13767.yaml,35
docs/20200425 abc_example/slice3/scenarios/smoothoperator_416646/scenario_13775.yaml,33
docs/20200425 abc_example/slice3/scenarios/smoothoperator_416646/scenario_13931.yaml,38
docs/20200425 abc_example/slice3/scenarios/smoothoperator_416646/scenario_14114.yaml,33
docs/20200425 abc_example/slice3/scenarios/smoothoperator_416646/scenario_14360.yaml,36
docs/20200425 abc_example/slice3/scenarios/smoothoperator_416646/scenario_14395.yaml,32
docs/20200425 abc_example/slice3/scenarios/smoothoperator_416646/scenario_16179.yaml,33
docs/20200425 abc_example/slice3/scenarios/smoothoperator_416646/scenario_16187.yaml,39
docs/20200425 abc_example/slice3/scenarios/smoothoperator_416646/scenario_16971.yaml,34
docs/20200425 abc_example/slice3/scenarios/smoothoperator_416646/scenario_17184.yaml,38
docs/20200425 abc_example/slice3/scenarios/smoothoperator_416646/scenario_17359.yaml,38
docs/20200425 abc_example/slice3/scenarios/smoothoperator_416646/scenario_17526.yaml,31
docs/20200425 abc_example/slice3/scenarios/smoothoperator_416646/scenario_17921.yaml,36
docs/20200425 abc_example/slice3/scenarios/smoothoperator_416646/scenario_18013.yaml,38
docs/20200425 abc_example/slice3/scenarios/smoothoperator_416646/scenario_18177.yaml,38
docs/20200425 abc_example/slice3/scenarios/smoothoperator_416646/scenario_18183.yaml,38
docs/20200425 abc_example/slice3/scenarios/smoothoperator_416646/scenario_18381.yaml,36
docs/20200425 abc_example/slice3/scenarios/smoothoperator_416646/scenario_18461.yaml,35
docs/20200425 abc_example/slice3/scenarios/smoothoperator_416646/scenario_18771.yaml,38
docs/20200425 abc_example/slice3/scenarios/smoothoperator_416646/scenario_19485.yaml,41
docs/20200425 abc_example/slice3/scenarios/smoothoperator_416646/scenario_20515.yaml,39
docs/20200425 abc_example/slice3/scenarios/smoothoperator_416646/scenario_20554.yaml,32
docs/20200425 abc_example/slice3/scenarios/smoothoperator_416646/scenario_21684.yaml,32
docs/20200425 abc_example/slice3/scenarios/smoothoperator_416646/scenario_22198.yaml,35
docs/20200425 abc_example/slice3/scenarios/smoothoperator_416646/scenario_22509.yaml,42
docs/20200425 abc_example/slice3/scenarios/smoothoperator_416646/scenario_22516.yaml,44
docs/20200425 abc_example/slice3/scenarios/smoothoperator_416646/scenario_22976.yaml,43
docs/20200425 abc_example/slice3/scenarios/smoothoperator_416646/scenario_23106.yaml,36
docs/20200425 abc_example/slice3/scenarios/smoothoperator_416646/scenario_25769.yaml,41
docs/20200425 abc_example/slice3/scenarios/smoothoperator_416646/scenario_25795.yaml,37
docs/20200425 abc_example/slice3/scenarios/smoothoperator_416646/scenario_26363.yaml,44
docs/20200425 abc_example/slice3/scenarios/smoothoperator_416646/scenario_27907.yaml,44
docs/20200425 abc_example/slice3/scenarios/smoothoperator_416646/scenario_29671.yaml,39
docs/20200425 abc_example/slice3/scenarios/smoothoperator_416646/scenario_29973.yaml,44
docs/20200425 abc_example/slice3/scenarios/smoothoperator_416646/scenario_30006.yaml,37
docs/20200425 abc_example/slice3/scenarios/smoothoperator_416646/scenario_30228.yaml,37
docs/20200425 abc_example/slice3/scenarios/smoothoperator_416646/scenario_30385.yaml,44
docs/20200425 abc_example/slice3/scenarios/smoothoperator_416646/scenario_30776.yaml,44
docs/20200425 abc_example/slice3/scenarios/smoothoperator_416646/scenario_31410.yaml,43
docs/20200425 abc_example/slice3/scenarios/smoothoperator_416646/scenario_31807.yaml,41
docs/20200425 abc_example/slice3/scenarios/smoothoperator_416646/scenario_32885.yaml,36
docs/20200425 abc_example/slice3/scenarios/smoothoperator_416646/scenario_33637.yaml,41
docs/20200425 abc_example/slice3/scenarios/smoothoperator_416646/scenario_33839.yaml,40
docs/20200425 abc_example/slice3/scenarios/smoothoperator_416646/scenario_35211.yaml,44
docs/20200425 abc_example/slice3/scenarios/smoothoperator_416646/scenario_35886.yaml,44
docs/20200425 abc_example/slice3/scenarios/smoothoperator_416646/scenario_36554.yaml,43
docs/20200425 abc_example/slice3/scenarios/smoothoperator_416646/scenario_36670.yaml,44
docs/20200425 abc_example/slice3/scenarios/smoothoperator_416646/scenario_37292.yaml,44
docs/20200425 abc_example/slice3/scenarios/smoothoperator_416646/scenario_37444.yaml,44
docs/20200425 abc_example/slice3/scenarios/smoothoperator_416646/scenario_37822.yaml,34
docs/20200425 abc_example/slice3/scenarios/smoothoperator_416646/scenario_39302.yaml,38
docs/20200425 abc_example/slice3/scenarios/smoothoperator_416646/scenario_39401.yaml,34
docs/20200425 abc_example/slice3/scenarios/smoothoperator_416646/scenario_40190.yaml,44
docs/20200425 abc_example/slice3/scenarios/smoothoperator_416646/scenario_41010.yaml,41
docs/20200425 abc_example/slice3/scenarios/smoothoperator_416646/scenario_42355.yaml,44
docs/20200425 abc_example/slice3/scenarios/smoothoperator_416646/scenario_42395.yaml,38
docs/20200425 abc_example/slice3/scenarios/smoothoperator_416646/scenario_42498.yaml,31
docs/20200425 abc_example/slice3/scenarios/smoothoperator_416646/scenario_44634.yaml,36
docs/20200425 abc_example/slice3/scenarios/smoothoperator_416646/scenario_44684.yaml,43
docs/20200425 abc_example/slice3/scenarios/smoothoperator_416646/scenario_44695.yaml,32
docs/20200425 abc_example/slice3/scenarios/smoothoperator_416646/scenario_44818.yaml,38
docs/20200425 abc_example/slice3/scenarios/smoothoperator_416646/scenario_45598.yaml,32
docs/20200425 abc_example/slice3/scenarios/smoothoperator_416646/scenario_46830.yaml,44
docs/20200425 abc_example/slice3/scenarios/smoothoperator_416646/scenario_47846.yaml,35
docs/20200425 abc_example/slice3/scenarios/smoothoperator_416646/scenario_48454.yaml,44
docs/20200425 abc_example/slice3/scenarios/smoothoperator_416646/scenario_48846.yaml,41
docs/20200425 abc_example/slice3/scenarios/smoothoperator_416646/scenario_49570.yaml,38
docs/20200425 abc_example/slice3/scenarios/smoothoperator_416646/scenario_49914.yaml,38
docs/20200425 abc_example/slice3/scenarios/smoothoperator_455127/scenario_327.yaml,39
docs/20200425 abc_example/slice3/scenarios/smoothoperator_455127/scenario_955.yaml,38
docs/20200425 abc_example/slice3/scenarios/smoothoperator_455127/scenario_1338.yaml,31
docs/20200425 abc_example/slice3/scenarios/smoothoperator_455127/scenario_1485.yaml,44
docs/20200425 abc_example/slice3/scenarios/smoothoperator_455127/scenario_2335.yaml,38
docs/20200425 abc_example/slice3/scenarios/smoothoperator_455127/scenario_2576.yaml,31
docs/20200425 abc_example/slice3/scenarios/smoothoperator_455127/scenario_3158.yaml,38
docs/20200425 abc_example/slice3/scenarios/smoothoperator_455127/scenario_3362.yaml,37
docs/20200425 abc_example/slice3/scenarios/smoothoperator_455127/scenario_3491.yaml,39
docs/20200425 abc_example/slice3/scenarios/smoothoperator_455127/scenario_5002.yaml,39
docs/20200425 abc_example/slice3/scenarios/smoothoperator_455127/scenario_5029.yaml,32
docs/20200425 abc_example/slice3/scenarios/smoothoperator_455127/scenario_5428.yaml,36
docs/20200425 abc_example/slice3/scenarios/smoothoperator_455127/scenario_6963.yaml,37
docs/20200425 abc_example/slice3/scenarios/smoothoperator_455127/scenario_7553.yaml,44
docs/20200425 abc_example/slice3/scenarios/smoothoperator_455127/scenario_7584.yaml,44
docs/20200425 abc_example/slice3/scenarios/smoothoperator_455127/scenario_7831.yaml,44
docs/20200425 abc_example/slice3/scenarios/smoothoperator_455127/scenario_10195.yaml,44
docs/20200425 abc_example/slice3/scenarios/smoothoperator_455127/scenario_11695.yaml,31
docs/20200425 abc_example/slice3/scenarios/smoothoperator_455127/scenario_13574.yaml,35
docs/20200425 abc_example/slice3/scenarios/smoothoperator_455127/scenario_13840.yaml,37
docs/20200425 abc_example/slice3/scenarios/smoothoperator_455127/scenario_14087.yaml,32
docs/20200425 abc_example/slice3/scenarios/smoothoperator_455127/scenario_15059.yaml,41
docs/20200425 abc_example/slice3/scenarios/smoothoperator_455127/scenario_15096.yaml,32
docs/20200425 abc_example/slice3/scenarios/smoothoperator_455127/scenario_15188.yaml,38
docs/20200425 abc_example/slice3/scenarios/smoothoperator_455127/scenario_15949.yaml,38
